,area,latitude,longitude,polygons
10,naif north,25.27389,55.30675,"[[[55.3153533935547, 25.2770042419434], [55.3137855529786, 25.2767601013184], [55.3122177124025, 25.2761116027833], [55.3083305358886, 25.2745761871339], [55.3066520690918, 25.273754119873], [55.3046035766601, 25.2771663665771], [55.3047027587891, 25.2772159576417], [55.3096656799316, 25.2800102233887], [55.3101272583007, 25.2802562713623], [55.3102035522461, 25.2797565460205], [55.3102798461915, 25.2793712615967], [55.3106765747071, 25.2790126800538], [55.3110504150392, 25.2786827087402], [55.3114204406738, 25.278591156006], [55.3120498657226, 25.2786464691163], [55.3129920959473, 25.2787532806396], [55.3133087158204, 25.2788047790528], [55.3137817382812, 25.2788105010986], [55.3141479492187, 25.2787666320801], [55.3147239685059, 25.2784900665284], [55.3151893615722, 25.277780532837], [55.3153533935547, 25.2770042419434]]]"
11,al murqabat,25.264954,55.32276,"[[[55.3296089172364, 25.2641048431397], [55.3286437988281, 25.2622394561768], [55.326271057129, 25.2589797973633], [55.3213310241699, 25.2608661651611], [55.3192710876465, 25.2618465423585], [55.3168067932129, 25.2634658813478], [55.3143768310547, 25.2648468017578], [55.3150367736816, 25.265953063965], [55.3163337707519, 25.2689781188965], [55.3164253234864, 25.2704334259033], [55.3164405822754, 25.2706699371338], [55.3284530639648, 25.2704067230225], [55.3302574157714, 25.2708206176758], [55.3302764892579, 25.2694244384766], [55.3303108215332, 25.2669868469239], [55.3299484252931, 25.2647609710694], [55.3296089172364, 25.2641048431397]]]"
12,tawi al muraqqab,25.264643,55.323318,"[[[55.3296089172364, 25.2641048431397], [55.3286437988281, 25.2622394561768], [55.326271057129, 25.2589797973633], [55.3213310241699, 25.2608661651611], [55.3192710876465, 25.2618465423585], [55.3168067932129, 25.2634658813478], [55.3143768310547, 25.2648468017578], [55.3150367736816, 25.265953063965], [55.3163337707519, 25.2689781188965], [55.3164253234864, 25.2704334259033], [55.3164405822754, 25.2706699371338], [55.3284530639648, 25.2704067230225], [55.3302574157714, 25.2708206176758], [55.3302764892579, 25.2694244384766], [55.3303108215332, 25.2669868469239], [55.3299484252931, 25.2647609710694], [55.3296089172364, 25.2641048431397]]]"
13,al muteena,25.274591,55.323849,"[[[55.3302574157714, 25.2708206176758], [55.3284530639648, 25.2704067230225], [55.3164405822754, 25.2706699371338], [55.3165283203126, 25.2720623016357], [55.3157806396485, 25.2749919891358], [55.3153533935547, 25.2770042419434], [55.3229026794434, 25.2784404754639], [55.3269577026367, 25.2790260314941], [55.3269844055177, 25.2789821624756], [55.3290901184083, 25.2755012512208], [55.3302268981935, 25.2731494903565], [55.3302574157714, 25.2708911895753], [55.3302574157714, 25.2708206176758]]]"
14,al ras,25.268823,55.295745,"[[[55.298152923584, 25.267105102539], [55.2978401184081, 25.2670307159424], [55.2970199584961, 25.2666988372803], [55.2961006164552, 25.2662181854249], [55.295280456543, 25.2658805847168], [55.2947502136232, 25.2657489776612], [55.2942581176759, 25.2657299041747], [55.2937507629395, 25.2657814025879], [55.2933616638184, 25.2658996582032], [55.2930412292482, 25.2660503387452], [55.2926788330079, 25.2662696838379], [55.2924194335938, 25.2664909362793], [55.292278289795, 25.2667102813721], [55.292179107666, 25.2669010162354], [55.2920989990235, 25.2671699523927], [55.292091369629, 25.2674598693848], [55.2921714782715, 25.2678394317628], [55.292278289795, 25.2681407928467], [55.2924804687501, 25.268440246582], [55.2927284240723, 25.2687015533447], [55.2929992675781, 25.2689590454103], [55.2935905456544, 25.2693405151368], [55.2941093444825, 25.2696800231933], [55.2945404052734, 25.2699909210206], [55.2948112487793, 25.2702598571777], [55.2951202392578, 25.2706909179689], [55.2954406738281, 25.2713394165039], [55.2956390380859, 25.2718982696534], [55.2958297729492, 25.2726497650146], [55.2958183288575, 25.2729301452636], [55.2957916259767, 25.2730617523194], [55.2957496643066, 25.2731800079346], [55.2957077026367, 25.2733154296876], [55.2974128723146, 25.273838043213], [55.298137664795, 25.2731990814209], [55.2981414794922, 25.2728538513184], [55.2978401184081, 25.2719345092773], [55.2975311279298, 25.2714710235596], [55.2977905273438, 25.2710151672363], [55.2982940673829, 25.2708492279054], [55.2985687255859, 25.2704086303711], [55.2979278564453, 25.2701568603515], [55.2974929809571, 25.2696933746338], [55.2974319458008, 25.2693500518799], [55.2976341247558, 25.2686634063722], [55.2978286743165, 25.2680931091309], [55.2980918884277, 25.2674083709718], [55.298152923584, 25.267105102539]]]"
15,al rega,25.267508,55.311586,"[[[55.3143768310547, 25.2648468017578], [55.3135719299317, 25.2635002136231], [55.3118553161622, 25.262228012085], [55.3116798400879, 25.2624015808107], [55.3102684020996, 25.2638607025146], [55.3089179992676, 25.2649307250977], [55.3082389831544, 25.2653903961183], [55.307529449463, 25.2658004760742], [55.3068695068361, 25.2661590576171], [55.3061981201172, 25.2664585113525], [55.3054695129394, 25.2667198181153], [55.3044090270997, 25.266960144043], [55.3033981323243, 25.2671298980714], [55.3033027648926, 25.2671470642091], [55.3034248352051, 25.2691898345948], [55.3033676147462, 25.2693214416504], [55.3064498901368, 25.2694530487061], [55.3080863952638, 25.2696437835694], [55.3092765808105, 25.2700023651124], [55.3112945556641, 25.2700824737549], [55.3148231506348, 25.2702941894532], [55.3164253234864, 25.2704334259033], [55.3163337707519, 25.2689781188965], [55.3150367736816, 25.265953063965], [55.3143768310547, 25.2648468017578]]]"
16,al-riqqa east,25.267275,55.313464,"[[[55.3143768310547, 25.2648468017578], [55.3135719299317, 25.2635002136231], [55.3118553161622, 25.262228012085], [55.3116798400879, 25.2624015808107], [55.3102684020996, 25.2638607025146], [55.3089179992676, 25.2649307250977], [55.3082389831544, 25.2653903961183], [55.307529449463, 25.2658004760742], [55.3068695068361, 25.2661590576171], [55.3061981201172, 25.2664585113525], [55.3054695129394, 25.2667198181153], [55.3044090270997, 25.266960144043], [55.3033981323243, 25.2671298980714], [55.3033027648926, 25.2671470642091], [55.3034248352051, 25.2691898345948], [55.3033676147462, 25.2693214416504], [55.3064498901368, 25.2694530487061], [55.3080863952638, 25.2696437835694], [55.3092765808105, 25.2700023651124], [55.3112945556641, 25.2700824737549], [55.3148231506348, 25.2702941894532], [55.3164253234864, 25.2704334259033], [55.3163337707519, 25.2689781188965], [55.3150367736816, 25.265953063965], [55.3143768310547, 25.2648468017578]]]"
17,al-riqqa west,25.267916,55.308443,"[[[55.3143768310547, 25.2648468017578], [55.3135719299317, 25.2635002136231], [55.3118553161622, 25.262228012085], [55.3116798400879, 25.2624015808107], [55.3102684020996, 25.2638607025146], [55.3089179992676, 25.2649307250977], [55.3082389831544, 25.2653903961183], [55.307529449463, 25.2658004760742], [55.3068695068361, 25.2661590576171], [55.3061981201172, 25.2664585113525], [55.3054695129394, 25.2667198181153], [55.3044090270997, 25.266960144043], [55.3033981323243, 25.2671298980714], [55.3033027648926, 25.2671470642091], [55.3034248352051, 25.2691898345948], [55.3033676147462, 25.2693214416504], [55.3064498901368, 25.2694530487061], [55.3080863952638, 25.2696437835694], [55.3092765808105, 25.2700023651124], [55.3112945556641, 25.2700824737549], [55.3148231506348, 25.2702941894532], [55.3164253234864, 25.2704334259033], [55.3163337707519, 25.2689781188965], [55.3150367736816, 25.265953063965], [55.3143768310547, 25.2648468017578]]]"
18,al waheda,25.289252,55.339694,"[[[55.3455390930176, 25.2908496856689], [55.3402290344238, 25.2851581573487], [55.3385887145997, 25.2841358184814], [55.3384819030762, 25.284086227417], [55.3272972106934, 25.2929363250733], [55.3295211791993, 25.2941856384278], [55.3326416015624, 25.2966098785401], [55.3358612060548, 25.2986888885499], [55.3360290527345, 25.2987976074219], [55.3434715270996, 25.2924308776855], [55.3455390930176, 25.2908496856689]]]"
19,cornich deira,25.286972,55.317354,"[[[55.3086280822754, 25.2830467224121], [55.3129653930665, 25.2858009338379], [55.3182106018068, 25.2893886566162], [55.318157196045, 25.2894172668458], [55.3186111450196, 25.2896900177002], [55.3188285827637, 25.2898464202881], [55.3189926147462, 25.289966583252], [55.3195114135742, 25.2903423309326], [55.3194465637207, 25.2903919219972], [55.319480895996, 25.2904472351075], [55.3194961547852, 25.2904720306398], [55.319736480713, 25.2908363342286], [55.3199844360352, 25.2906818389893], [55.3202781677247, 25.2905006408691], [55.3209686279298, 25.2910289764405], [55.3209419250488, 25.291088104248], [55.322021484375, 25.2918815612794], [55.3221702575684, 25.2919101715089], [55.32279586792, 25.2925300598146], [55.323226928711, 25.2928428649903], [55.323875427246, 25.2933979034424], [55.3245239257813, 25.2938537597656], [55.3245429992675, 25.2939052581788], [55.3245239257813, 25.2939624786378], [55.3247375488282, 25.2941188812257], [55.3248023986817, 25.2940120697021], [55.3248748779297, 25.294080734253], [55.3248710632325, 25.2941455841065], [55.3250770568849, 25.294309616089], [55.325138092041, 25.2944049835206], [55.3251991271973, 25.2944488525391], [55.3269157409669, 25.2927227020264], [55.3270568847657, 25.292802810669], [55.3266601562501, 25.2921390533447], [55.3233451843263, 25.2892608642578], [55.3223419189453, 25.2883911132813], [55.3194160461426, 25.2858581542969], [55.3160400390624, 25.2833900451661], [55.3101272583007, 25.2802562713623], [55.3097572326661, 25.2815093994141], [55.3086280822754, 25.2830467224121]]]"
20,al-safiyyah,25.276082,55.345384,"[[[55.3302574157714, 25.2708911895753], [55.3302268981935, 25.2731494903565], [55.3290901184083, 25.2755012512208], [55.3269844055177, 25.2789821624756], [55.3296585083008, 25.2800941467286], [55.3384819030762, 25.284086227417], [55.3484344482423, 25.2762088775635], [55.3431434631348, 25.2739391326904], [55.3378868103027, 25.2720890045167], [55.3338775634766, 25.2712554931642], [55.3302574157714, 25.2708911895753]]]"
